season_x,name,position,team_x,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,opp_team_name,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,GW
2016-17,Aaron Cresswell,DEF,West Ham,0,0,0,0,0.0,454,10,0,0,0.0,0.0,2016-08-15T19:00:00Z,0,4,Chelsea,0,0,0,0,1,0,14023,1.0,2.0,0.0,0,0,0,0,55,False,0,1
2016-17,Aaron Lennon,MID,Everton,0,0,6,0,0.3,142,3,0,0,0.9,8.2,2016-08-13T14:00:00Z,15,17,Spurs,0,0,0,0,1,0,13918,1.0,1.0,0.0,1,0,0,0,60,True,0,1
2016-17,Aaron Ramsey,MID,Arsenal,0,0,5,0,4.9,16,8,3,0,3.0,2.2,2016-08-14T15:00:00Z,60,9,Liverpool,0,0,0,0,1,0,163170,4.0,3.0,23.0,2,0,0,0,80,True,0,1
2016-17,Abdoulaye Doucouré,MID,Watford,0,0,0,0,0.0,482,7,0,0,0.0,0.0,2016-08-13T14:00:00Z,0,13,Southampton,0,0,0,0,1,0,1051,1.0,1.0,0.0,0,0,0,0,50,False,0,1
2016-17,Adam Forshaw,MID,Middlesbrough,0,0,3,0,1.3,286,6,1,0,0.3,2.0,2016-08-13T14:00:00Z,69,14,Stoke,0,0,0,0,1,0,2723,1.0,1.0,0.0,1,0,0,0,45,True,1,1
2016-17,Adam Lallana,MID,Liverpool,1,2,33,0,33.7,205,8,3,1,14.2,51.2,2016-08-14T15:00:00Z,75,1,Arsenal,0,0,0,0,1,0,155525,4.0,3.0,57.0,11,0,0,0,70,False,1,1
2016-17,Adam Smith,DEF,Bournemouth,0,0,23,0,4.3,34,9,3,1,7.4,42.4,2016-08-14T12:30:00Z,90,11,Man Utd,0,0,0,0,1,0,21505,3.0,1.0,27.0,7,0,0,0,45,True,0,1
2016-17,Adrián San Miguel del Castillo,GK,West Ham,0,0,16,0,0.0,450,10,2,0,3.0,29.8,2016-08-15T19:00:00Z,90,4,Chelsea,0,0,0,0,1,4,94480,1.0,2.0,0.0,2,0,0,0,50,False,0,1
2016-17,Alex Iwobi,MID,Arsenal,1,0,12,0,17.5,21,8,3,0,3.4,16.6,2016-08-14T15:00:00Z,58,9,Liverpool,0,0,0,0,1,0,48146,4.0,3.0,0.0,3,0,0,0,60,True,1,1
2016-17,Alex McCarthy,GK,Southampton,0,0,0,0,0.0,101,7,0,0,0.0,0.0,2016-08-13T14:00:00Z,0,18,Watford,0,0,0,0,1,0,8821,1.0,1.0,0.0,0,0,0,0,45,True,0,1
2016-17,Alex Oxlade-Chamberlain,MID,Arsenal,0,0,23,0,6.5,18,8,1,1,6.5,39.4,2016-08-14T15:00:00Z,32,9,Liverpool,0,0,0,0,1,0,41083,4.0,3.0,19.0,6,0,0,0,60,True,0,1
2016-17,Andreas Pereira,MID,Man Utd,0,0,0,0,0.0,263,9,0,0,0.0,0.0,2016-08-14T12:30:00Z,0,2,Bournemouth,0,0,0,0,1,0,2632,3.0,1.0,0.0,0,0,0,0,45,False,0,1
2016-17,Andrew Robertson,DEF,Hull City,0,0,14,0,1.8,152,4,1,0,1.7,14.8,2016-08-13T11:30:00Z,90,8,Leicester,0,0,0,0,1,0,32036,1.0,2.0,0.0,2,0,0,0,45,True,0,1
2016-17,Andre Gray,FWD,Burnley,0,0,-3,0,2.3,68,1,1,0,4.3,0.0,2016-08-13T14:00:00Z,90,16,Swansea,0,0,0,0,1,0,410883,1.0,0.0,42.0,2,0,0,0,65,True,0,1
2016-17,Andros Townsend,MID,Crystal Palace,0,0,17,0,32.8,120,2,1,0,10.2,23.2,2016-08-13T14:00:00Z,90,19,West Brom,0,0,0,0,1,0,223526,1.0,0.0,46.0,2,0,0,0,65,True,0,1
2016-17,André Ayew,MID,West Ham,0,0,5,0,1.2,374,10,0,0,0.5,0.2,2016-08-15T19:00:00Z,34,4,Chelsea,0,0,0,0,1,0,306332,1.0,2.0,4.0,1,0,0,0,75,False,0,1
2016-17,Andy Carroll,FWD,West Ham,0,0,7,0,17.0,468,10,2,0,3.2,10.6,2016-08-15T19:00:00Z,90,4,Chelsea,0,0,0,0,1,0,268504,1.0,2.0,4.0,2,0,0,0,65,False,0,1
2016-17,Angelo Ogbonna,DEF,West Ham,0,0,0,0,0.0,456,10,0,0,0.0,0.0,2016-08-15T19:00:00Z,0,4,Chelsea,0,0,0,0,1,0,45667,1.0,2.0,0.0,0,0,0,0,50,False,0,1
2016-17,Anthony Martial,FWD,Man Utd,2,3,35,0,37.3,267,9,1,0,10.4,38.8,2016-08-14T12:30:00Z,84,2,Bournemouth,0,0,0,0,1,0,213574,3.0,1.0,28.0,11,0,0,0,95,False,0,1
2016-17,Arthur Masuaku,DEF,West Ham,0,0,19,0,1.4,505,10,2,0,1.8,16.4,2016-08-15T19:00:00Z,90,4,Chelsea,0,0,0,0,1,0,7272,1.0,2.0,0.0,1,0,0,0,50,False,0,1
2016-17,Ashley Barnes,FWD,Burnley,0,0,0,0,0.0,70,1,0,0,0.0,0.0,2016-08-13T14:00:00Z,0,16,Swansea,0,0,0,0,1,0,3649,1.0,0.0,0.0,0,0,0,0,45,True,0,1
2016-17,Ashley Young,DEF,Man Utd,0,0,0,0,0.0,260,9,0,0,0.0,0.0,2016-08-14T12:30:00Z,0,2,Bournemouth,0,0,0,0,1,0,3019,3.0,1.0,0.0,0,0,0,0,55,False,0,1
2016-17,Bamidele Alli,MID,,0,0,6,0,16.9,398,3,1,0,3.0,2.2,2016-08-13T14:00:00Z,90,6,Everton,0,0,0,0,1,0,415753,1.0,1.0,11.0,2,0,0,0,85,False,0,1
2016-17,Benjamin Chilwell,DEF,Leicester,0,0,0,0,0.0,496,4,0,0,0.0,0.0,2016-08-13T11:30:00Z,0,7,Hull,0,0,0,0,1,0,8192,1.0,2.0,0.0,0,0,0,0,45,False,0,1
2016-17,Ben Davies,DEF,Tottenham,0,0,0,0,0.0,386,3,0,0,0.0,0.0,2016-08-13T14:00:00Z,0,6,Everton,0,0,0,0,1,0,9018,1.0,1.0,0.0,0,0,0,0,50,False,0,1
2016-17,Ben Foster,GK,West Brom,0,3,32,1,10.0,430,2,0,0,3.4,23.6,2016-08-13T14:00:00Z,90,5,Crystal Palace,0,0,0,0,1,4,173290,1.0,0.0,0.0,10,0,0,0,45,False,0,1
2016-17,Ben Gibson,DEF,Middlesbrough,0,0,6,0,0.1,278,6,1,0,1.7,10.4,2016-08-13T14:00:00Z,90,14,Stoke,0,0,0,0,1,0,17473,1.0,1.0,6.0,2,0,0,0,45,True,0,1
2016-17,Ben Mee,DEF,Burnley,0,0,15,0,0.6,56,1,1,0,2.3,18.8,2016-08-13T14:00:00Z,90,16,Swansea,0,0,0,0,1,0,21801,1.0,0.0,4.0,2,0,0,0,45,True,0,1
2016-17,Branislav Ivanovic,DEF,Chelsea,0,0,15,0,12.9,76,10,1,0,7.2,18.4,2016-08-15T19:00:00Z,90,20,West Ham,0,0,0,0,1,0,208363,1.0,2.0,41.0,2,0,0,0,60,True,0,1
